FIPS,pWhite,pBlack,pNative,pAsian,pPacific,pOther,pTwo_or_More
50025968200,96.4,1,0.39,0.61,0.17,0.22,1.22
50025968300,96.94,0.32,0.11,1.45,0,0.21,0.97
50025968400,94.37,1.01,0.33,1.24,0.08,0.43,2.54
50025968500,90.87,2.62,0.36,2.19,0.03,0.93,3
50025968600,91.11,1.44,0.13,4.05,0,0.74,2.53
50025968700,96.93,0.53,0.14,0.37,0,0.65,1.39
50027965000,94.08,0.76,0.09,2.52,0.03,0.47,2.05
50027965100,95.42,0.9,0.4,1.15,0.07,0.4,1.66
50027965200,96.55,0.56,0.28,0.45,0.03,0,2.13
50027965300,98.66,0,0,0.67,0,0,0.67
50027965400,97.07,0.46,0.29,0.71,0,0.1,1.37
50027965501,96.16,0.97,0.23,0.83,0,0.27,1.53
50027965502,95.41,0.96,0.18,2.06,0,0.25,1.14
50027965600,93.72,0.63,0.43,2.22,0.07,0.24,2.68
50027965700,97.76,0.21,0.03,0.41,0.06,0.27,1.27
50027965800,97.21,0.43,0.36,0.46,0.03,0.26,1.25
50027965900,97.89,0.12,0.27,0.39,0,0.09,1.23
50027966000,95.55,0.84,0.42,0.62,0.03,0.31,2.22
50027966100,97.91,0.18,0.25,0.42,0,0.18,1.06
50027966200,96.83,0.56,0.19,0.68,0,0.12,1.61
50027966300,96.54,0.2,0.41,0.82,0.05,0,1.99
50027966500,97.61,0.29,0.41,0.5,0,0.07,1.12
50027966600,96.69,0.49,0.14,0.83,0,0.3,1.56
50027966700,94.97,1.16,0.28,0.63,0.02,0.67,2.26
